Name,Conscientiousness,Conscientiousness_SampleError,Openness,Openness_SampleError,Agreeablenes,Agreeablenes_SampleError,Emotionalrange,Emotionalrange_SampleError,Extraversion,Extraversion_SampleError
Ann Wagner,80,8,80,4,36,8,15,7,60,4
Barbara Comstock,96,8,89,5,30,8,7,8,35,5
Barry Loudermilk,89,9,78,5,36,9,8,8,47,5
Bill Cassidy,70,8,67,4,37,8,21,8,66,4
Bill Johnson,79,8,81,4,35,8,16,7,46,4
Bill Posey,87,8,92,5,6,8,15,8,13,5
Bill Shuster,76,8,83,4,14,8,20,8,29,4
Blaine Luetkemeyer,84,9,83,5,27,9,16,8,43,5
Blake Farenthold,15,9,53,5,79,9,56,8,60,5
Bob Goodlatte,84,8,84,4,11,8,17,7,28,4
Brad Wenstrup,82,8,82,4,38,8,12,8,60,4
Brian Babin,56,8,62,5,35,8,32,8,69,5
Buddy Carter,94,9,71,5,57,9,11,8,60,5
Candice Miller,76,9,86,5,9,9,28,8,31,5
CathyMcMorrisRodgers,81,8,68,4,60,8,16,8,70,4
Charles Boustany,42,8,75,5,11,8,46,8,41,5
Chris Gibson,98,8,70,4,70,8,3,7,72,4
Chris Murphy,15,9,53,5,79,9,56,8,60,5
Chuck Fleischmann,80,8,73,5,30,8,17,7,51,4
ChuckGrassley,67,8,90,4,3,8,31,8,12,4
Cong. Mike Simpson,89,9,93,5,7,9,19,8,17,5
Cong. Steven Palazzo,80,8,81,5,27,8,18,8,48,5
Cong. Tim Huelskamp,46,8,82,4,8,8,38,8,37,4
Congressman Hice,85,9,60,5,83,9,12,8,91,5
Congressman Joe Heck,77,8,78,4,15,8,25,8,26,4
Congressman Ken Buck,60,9,79,5,17,9,30,8,46,5
Congressman Rod Blum,92,9,79,5,54,9,9,8,62,5
Congressman Tom Rice,73,9,69,5,40,9,17,8,56,5
CongressmanJoePitts,61,8,86,5,12,8,28,8,35,5
Cory Gardner,72,8,87,4,12,8,20,8,35,4
Dan Donovan,59,9,61,5,49,9,25,8,91,5
Dana Rohrabacher,2,8,74,4,2,8,84,8,36,4
Daniel Webster,86,8,74,4,45,8,13,8,62,4
Darin LaHood,91,9,54,6,86,9,6,8,85,5
Darrell Issa,70,8,95,4,4,8,24,7,14,4
Dave Joyce,87,8,73,4,52,8,14,7,57,4
Dave Reichert,87,8,81,4,43,8,13,7,49,4
David B. McKinley,72,8,87,4,12,8,20,8,27,4
David Jolly,87,8,75,5,50,8,9,8,77,4
David Perdue,56,8,63,5,42,8,28,8,68,4
David Rouzer,87,9,87,5,41,9,13,8,41,5
David Young,79,8,80,4,49,8,9,7,72,4
Dean Heller,89,8,85,4,31,8,12,7,49,4
Dennis Ross,15,9,53,5,79,9,56,8,60,5
Diane Black,55,8,60,4,39,8,28,8,73,4
Donald J. Trump,32,8,59,4,21,8,36,8,72,4
Doug Collins,70,8,76,4,41,8,17,7,67,4
Dr. Dan Benishek,85,9,74,5,40,9,12,8,48,5
Dr. Phil Roe,83,8,75,4,33,8,12,7,58,4
Dr. Rand Paul,15,9,53,5,79,9,56,8,60,5
Ed Royce,69,8,86,4,8,8,21,7,44,4
Frank LoBiondo,60,8,72,4,14,8,36,7,40,4
Frank Lucas,64,9,64,5,71,9,11,8,88,5
Fred Upton,83,8,76,4,46,8,14,7,62,4
French Hill,93,9,86,5,27,9,15,8,32,5
Gary Palmer,59,8,85,5,16,8,20,8,61,5
George Holding,73,9,82,5,24,9,18,8,38,5
Glenn 'GT' Thompson,87,8,93,4,6,8,15,8,18,4
Gregg Harper,78,8,86,4,19,8,16,7,44,4
Gus Bilirakis,82,8,68,4,45,8,21,7,59,4
Hal Rogers,90,8,91,5,7,8,14,8,16,5
Ileana Ros-Lehtinen,45,8,47,4,49,8,42,7,86,4
Inhofe Press Office,56,8,90,4,3,8,33,8,19,4
Jackie Walorski,80,8,75,4,34,8,19,8,52,4
JaimeHerreraBeutler,86,9,83,5,17,9,18,8,20,5
Jason Chaffetz,72,8,90,4,8,8,23,7,32,4
Jeb Hensarling,58,9,77,5,15,9,34,8,38,5
Jeff Denham,74,8,65,4,46,8,17,7,63,4
Jeff Flake,60,8,87,4,7,8,35,7,19,4
Jeff Fortenberry,90,8,84,4,21,8,16,7,34,4
Jerry Moran,84,8,81,4,18,8,19,8,31,4
Jim Bridenstine,60,8,90,5,4,8,28,8,20,5
Joe Barton,44,8,71,5,9,8,34,8,41,4
Joe Wilson,77,9,71,5,50,9,21,8,65,5
John Carter,71,8,75,5,21,8,18,7,46,4
John Fleming,46,8,88,5,7,8,32,8,34,4
John Katko,95,9,67,6,80,9,9,9,69,5
John Kline,61,8,68,4,39,8,31,8,59,4
John McCain,48,8,79,4,4,8,40,7,44,4
John Mica,89,9,70,6,62,9,4,9,84,5
John Ratcliffe,63,9,81,5,22,9,26,8,57,5
John Shimkus,46,8,77,4,52,8,12,8,95,4
JohnCornyn,57,8,95,4,2,8,37,7,12,4
johnculberson,41,8,67,4,13,8,44,8,43,4
Johnny Isakson,86,8,71,4,50,8,16,7,69,4
Joni Ernst,74,9,78,5,31,9,18,8,64,5
Justin Amash,18,8,77,4,9,8,53,7,43,4
Keith Rothfus,81,8,67,4,34,8,18,8,37,4
Kelly Ayotte,63,8,71,4,20,8,31,8,63,4
Ken Calvert,61,8,88,4,4,8,36,8,8,4
Kenny Marchant,72,8,86,4,5,8,23,7,13,4
Kevin McCarthy,77,8,83,4,15,8,29,7,17,4
Lamar Smith,75,8,88,5,6,8,24,8,21,5
Larry Bucshon,81,8,83,4,20,8,16,7,29,4
Leader McConnell,60,8,85,5,9,8,38,8,27,5
Lee Zeldin,82,9,86,5,21,9,14,8,32,5
Lindsey Graham,44,8,92,4,6,8,35,8,40,4
Louie Gohmert,61,8,78,4,23,8,8,7,90,4
Lynn Jenkins,79,8,74,4,34,8,16,8,44,4
Lynn Westmoreland,15,9,53,5,79,9,56,8,60,5
Mac Thornberry Press,71,9,89,5,9,9,25,8,33,5
Marco Rubio,72,8,43,4,91,8,15,7,91,4
Mario Diaz-Balart,74,8,69,4,53,8,20,8,75,4
Mark Kirk,58,8,71,4,12,8,38,8,50,4
Mark Meadows,64,8,80,4,18,8,23,7,54,4
Mark Sanford,79,9,75,5,45,9,15,8,42,5
Markwayne Mullin,81,8,80,4,22,8,19,7,35,4
Marsha Blackburn,62,8,73,4,28,8,24,7,73,4
Martha McSally,76,8,73,5,53,8,14,8,76,5
Matt Salmon,77,8,82,4,21,8,19,8,47,4
Michael Burgess,69,8,79,4,31,8,14,8,74,4
Michael McCaul,65,8,83,5,29,8,22,8,79,5
Mike Bishop,86,9,71,5,57,9,15,8,69,5
Mike Conaway,66,9,84,5,8,9,25,8,20,5
Mike Enzi,57,8,85,4,4,8,44,8,9,4
Mike Fitzpatrick,89,8,87,4,24,8,15,8,25,4
Mike Lee,63,8,84,4,8,8,26,8,29,4
Mike Pompeo,34,8,78,4,6,8,46,8,38,4
Mike Rogers,82,8,88,4,23,8,13,7,33,4
Mimi Walters,89,8,85,4,15,8,9,7,41,4
Mo Brooks,80,8,76,5,45,8,13,8,72,5
Morgan Griffith,85,9,87,5,7,9,15,8,18,5
Orrin Hatch,59,8,86,4,7,8,26,8,38,4
Pat Roberts,15,9,53,5,79,9,56,8,60,5
Patrick McHenry,70,8,77,4,15,8,24,8,38,4
Patrick Meehan,74,8,83,4,11,8,24,7,34,4
Paul Ryan,64,8,81,4,14,8,31,7,25,4
Pete Sessions,88,8,87,4,38,8,6,8,43,4
Peter Roskam,54,8,86,4,7,8,34,7,29,4
Randy Forbes,69,8,79,4,14,8,21,8,50,4
Randy Neugebauer,78,8,83,4,20,8,16,8,42,4
Randy Weber,69,8,79,5,36,8,14,7,64,4
Raúl R. Labrador,74,8,80,5,24,8,18,8,57,5
Reid Ribble,80,8,78,4,33,8,16,7,44,4
Rep Dan Newhouse,83,9,82,5,17,9,21,8,26,5
Rep David Schweikert,75,8,73,4,37,8,17,8,57,4
Rep John Duncan Jr.,70,9,87,5,10,9,19,8,23,5
Rep Rick Crawford,80,8,73,4,43,8,16,7,56,4
Rep Robert Pittenger,53,8,81,4,11,8,34,8,42,4
Rep Tim Walberg,81,8,82,4,24,8,18,7,39,4
Rep. Adrian Smith,77,8,78,4,19,8,26,7,33,4
Rep. Alex Mooney,91,9,84,5,39,9,7,8,61,5
Rep. Andy Barr,83,8,78,4,19,8,19,7,35,4
Rep. Andy Harris,66,8,81,5,24,8,17,7,62,4
Rep. Austin Scott,0,0,0,0,0,0,0,0,0,0
Rep. Bill Flores,83,8,72,4,24,8,13,7,56,4
Rep. Bill Huizenga,72,8,85,4,10,8,20,8,21,4
Rep. Bob Gibbs,70,8,79,4,20,8,17,7,47,4
Rep. Bradley Byrne,73,8,86,4,19,8,23,8,31,4
Rep. Brett Guthrie,98,9,79,5,70,9,1,8,75,5
Rep. Bruce Poliquin,77,9,72,5,64,9,17,8,66,5
Rep. Bruce Westerman,90,8,88,5,17,8,6,8,35,5
Rep. Carlos Curbelo,83,8,74,5,30,8,18,8,57,5
Rep. Chris Collins,80,8,86,4,20,8,12,8,28,4
Rep. Chris Smith,65,9,82,5,7,9,28,8,49,5
Rep. Chris Stewart,63,8,74,4,23,8,26,7,55,4
Rep. Cresent Hardy,15,9,53,5,79,9,56,8,60,5
Rep. Curt Clawson,89,9,77,5,54,9,13,8,73,5
Rep. Cynthia Lummis,72,8,87,5,12,8,19,8,37,4
Rep. Dave Brat,67,9,81,5,17,9,25,8,45,5
Rep. Dave Trott,81,9,74,6,48,9,13,9,55,5
Rep. David Valadao,90,9,70,5,54,9,9,8,68,5
Rep. Devin Nunes,25,10,66,6,42,10,33,9,92,6
Rep. Don Young,80,8,83,5,14,8,22,8,33,5
Rep. Doug LaMalfa,70,9,78,5,26,9,27,8,33,5
Rep. Doug Lamborn,69,8,86,4,13,8,22,7,50,4
Rep. Duncan Hunter,49,9,84,6,5,9,41,9,26,5
Rep. Ed Whitfield,94,9,92,5,9,9,13,8,14,5
Rep. Elise Stefanik,92,8,81,5,54,8,7,8,52,5
Rep. Erik Paulsen,74,8,78,4,26,8,17,8,56,4
Rep. Evan Jenkins,89,8,84,5,42,8,10,8,57,5
Rep. Frank Guinta,80,8,75,5,42,8,15,7,56,4
Rep. Garret Graves,71,9,86,5,11,9,23,8,26,5
Rep. Glenn Grothman,91,9,85,5,36,9,8,8,50,5
Rep. Greg Walden,87,8,90,4,21,8,13,7,30,4
Rep. Jason Smith,80,8,84,4,14,8,20,7,24,4
Rep. Jeff Duncan,28,8,79,4,8,8,44,8,42,4
Rep. Jeff Miller,73,9,85,6,23,9,20,9,56,5
Rep. Jim Jordan,67,8,78,5,20,8,20,8,55,5
Rep. Jim Renacci,81,8,84,4,34,8,12,7,49,4
Rep. John Moolenaar,92,9,84,5,42,9,5,8,53,5
Rep. Kay Granger,85,8,90,5,18,8,11,8,37,4
Rep. Kevin Cramer,91,8,89,5,21,8,9,8,33,5
Rep. Kevin Yoder,92,8,77,4,44,8,7,8,49,4
Rep. Kristi Noem,74,8,69,4,48,8,16,8,62,4
Rep. Leonard Lance,82,8,86,5,10,8,21,8,30,5
Rep. Lou Barletta,70,8,81,5,11,8,25,7,31,4
Rep. Luke Messer,84,8,77,5,47,8,11,8,60,5
Rep. Mark Walker,81,9,72,5,38,9,16,8,44,5
Rep. Marlin Stutzman,76,8,77,5,19,8,22,8,35,5
Rep. Martha Roby,68,8,81,4,25,8,22,8,48,4
Rep. Mia Love,72,9,77,5,26,9,19,8,63,5
Rep. Mick Mulvaney,64,8,79,5,20,8,19,8,43,5
Rep. Mike Bost,95,9,94,5,27,9,3,8,32,5
Rep. Mike Coffman,78,8,86,4,8,8,20,7,23,4
Rep. Mike Kelly,73,8,63,5,34,8,34,7,60,4
Rep. Pat Tiberi,78,8,84,5,14,8,20,8,26,5
Rep. Paul Cook,85,8,75,5,44,8,16,8,51,5
Rep. Paul Gosar,75,8,87,4,10,8,22,8,26,4
Rep. Pete King,56,8,88,4,7,8,33,7,58,4
Rep. Pete Olson,79,8,73,4,21,8,21,8,46,4
Rep. Ralph Abraham,88,9,77,6,40,9,17,8,44,5
Rep. Randy Hultgren,68,8,79,4,13,8,26,8,32,4
Rep. Renee Ellmers,76,8,77,4,26,8,19,7,46,4
Rep. Richard Hanna,60,8,91,4,3,8,33,8,9,4
Rep. Rob Wittman,69,8,71,4,43,8,19,8,76,4
Rep. Robert Aderholt,80,8,86,5,13,8,18,8,23,4
Rep. Robert Hurt,87,8,84,4,37,8,16,7,27,4
Rep. Robert J. Dold,68,8,61,4,42,8,25,7,55,4
Rep. Roger Williams,70,8,83,5,14,8,24,7,39,4
Rep. Ryan Costello,96,9,84,5,42,9,4,8,41,5
Rep. Sam Graves,28,8,80,4,5,8,43,7,24,4
Rep. Scott Rigell,65,8,60,4,60,8,22,7,82,4
Rep. Scott Tipton,82,8,85,5,17,8,15,7,26,4
Rep. Steve Russell,37,9,71,6,33,9,26,8,87,5
Rep. Steve Scalise,81,8,74,4,40,8,19,7,53,4
Rep. Steve Womack,91,8,74,4,42,8,7,7,50,4
Rep. Todd Rokita,69,8,77,4,22,8,18,7,51,4
